comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,5.043776988983154,land,1011.2433380671605,0,0,-1,-1,-1,,-1
threading,8.051203489303589,land,1011.2401725629693,0,0,-1,-1,-1,,-1
threading,11.054807662963867,land,1011.2869365236528,0,0,-1,-1,-1,,-1
threading,14.058417081832886,land,1011.2873117099648,0,0,-1,-1,-1,,-1
threading,17.062021017074585,land,1011.1382175051638,0,0,-1,-1,-1,,-1
threading,20.06559109687805,land,1011.1285972097512,0,0,-1,-1,-1,,-1
threading,23.069271326065063,land,1011.0690303623255,0,0,-1,-1,-1,,-1
threading,26.07278823852539,land,1011.0805705338254,0,0,-1,-1,-1,,-1
threading,29.076416969299316,land,1011.0392369319047,0,0,-1,-1,-1,,-1
threading,32.08001136779785,land,1011.0808252796743,0,0,-1,-1,-1,,-1
threading,35.08371663093567,land,1011.0926092680788,0,0,-1,-1,-1,,-1
threading,38.08611440658569,land,1011.0031541911949,0,0,-1,-1,-1,,-1
threading,41.08963656425476,land,1011.1112630967727,0,0,-1,-1,-1,,-1
threading,44.09340453147888,land,1011.0731092654053,0,0,-1,-1,-1,,-1
threading,47.0970025062561,land,1011.1262661473156,0,0,-1,-1,-1,,-1
threading,50.09799766540527,land,1011.1031066461067,0,0,-1,-1,-1,,-1
threading,53.10153579711914,land,1011.1031066461067,0,0,-1,-1,-1,,-1
threading,56.10444903373718,land,1011.1264185746132,0,0,-1,-1,-1,,-1
threading,59.10768508911133,land,1010.7992103054137,0,0,-1,-1,-1,,-1
threading,62.110642194747925,land,1010.5716017626244,0,0,-1,-1,-1,,-1
threading,65.11405730247498,land,1010.1661247580404,0,0,-1,-1,-1,,-1
threading,68.11779761314392,land,1009.8868940848629,0,0,-1,-1,-1,,-1
sky,70.62982940673828,land,1009.8386506688042,0,0,-1,-1,-1,,-1
threading,71.11913657188416,land,1009.8452692214164,0,0,-1,-1,-1,,-1
threading,74.12215089797974,land,1009.7820945735892,0,0,-1,-1,-1,,-1
threading,77.12572479248047,land,1009.8752284840696,0,0,-1,-1,-1,,-1
threading,80.1288902759552,land,1009.7772717048975,0,0,-1,-1,-1,,-1
threading,83.13147854804993,land,1009.8105669026332,0,0,-1,-1,-1,,-1
threading,86.13511323928833,land,1009.7740651416713,0,0,-1,-1,-1,,-1
threading,89.1386251449585,land,1009.7774045637033,0,0,-1,-1,-1,,-1
threading,92.14211511611938,land,1009.7657963460706,0,0,-1,-1,-1,,-1
threading,95.1456983089447,land,1009.8040082222777,0,0,-1,-1,-1,,-1
threading,98.14932060241699,land,1009.8040082222777,0,0,-1,-1,-1,,-1
threading,101.15288043022156,land,1009.9402014677494,0,0,-1,-1,-1,,-1
threading,104.15653800964355,land,1009.9916541858975,0,0,-1,-1,-1,,-1
threading,107.16010046005249,land,1009.9068599148362,0,0,-1,-1,-1,,-1
threading,110.16378235816956,land,1009.9067583685464,0,0,-1,-1,-1,,-1
threading,113.16711044311523,land,1009.8917126190556,0,0,-1,-1,-1,,-1
threading,116.16932272911072,land,1009.9464519221465,0,0,-1,-1,-1,,-1
threading,119.1716296672821,land,1010.0011844186562,0,0,-1,-1,-1,,-1
threading,122.1750020980835,land,1009.9927020243009,0,0,-1,-1,-1,,-1
threading,125.17703080177307,land,1009.9326838239937,0,0,-1,-1,-1,,-1
threading,128.180513381958,land,1009.9890834599598,0,0,-1,-1,-1,,-1
threading,131.18415331840515,land,1009.9107143821398,0,0,-1,-1,-1,,-1
threading,134.18688559532166,land,1009.9321847546195,0,0,-1,-1,-1,,-1
threading,137.1885097026825,land,1009.9087176012556,0,0,-1,-1,-1,,-1
threading,140.1912763118744,land,1009.9650889342303,0,0,-1,-1,-1,,-1
threading,143.19373679161072,land,1009.9682189366201,0,0,-1,-1,-1,,-1
threading,146.19633507728577,land,1009.9979605804768,0,0,-1,-1,-1,,-1
threading,149.1989107131958,land,1010.027696205156,0,0,-1,-1,-1,,-1
threading,152.20248222351074,land,1009.9325921295417,0,0,-1,-1,-1,,-1
threading,155.20599579811096,land,1009.9273800978282,0,0,-1,-1,-1,,-1
threading,158.20949625968933,land,1009.9304546308241,0,0,-1,-1,-1,,-1
threading,161.21306777000427,land,1009.9418145441325,0,0,-1,-1,-1,,-1
threading,164.21384835243225,land,1009.9531634321704,0,0,-1,-1,-1,,-1
threading,167.21587920188904,land,1009.9396166647927,0,0,-1,-1,-1,,-1
threading,170.21838331222534,land,1009.9160114611483,0,0,-1,-1,-1,,-1
threading,173.2214593887329,land,1009.9723141662538,0,0,-1,-1,-1,,-1
threading,176.22295141220093,land,1009.9238054545577,0,0,-1,-1,-1,,-1
threading,179.2248134613037,land,1009.815471985655,0,0,-1,-1,-1,,-1
threading,182.2274100780487,land,1009.7586515600389,0,0,-1,-1,-1,,-1
threading,185.2310335636139,land,1009.7764433101589,0,0,-1,-1,-1,,-1
threading,188.2340030670166,land,1009.7344022349586,0,0,-1,-1,-1,,-1
threading,191.2376103401184,land,1009.7337900460973,0,0,-1,-1,-1,,-1
threading,194.24124574661255,land,1009.783529861216,0,0,-1,-1,-1,,-1
threading,197.2447805404663,land,1009.7306880953395,36.110496,140.098441,-1,-1,-1,,-1
threading,200.248300075531,land,1009.7263844185123,36.110551,140.098573,-1,-1,-1,,-1
threading,203.25170612335205,land,1009.8323182518038,36.110628,140.098705,-1,-1,-1,,-1
threading,206.2528281211853,land,1009.7818436180037,36.110743,140.098889,-1,-1,-1,,-1
threading,209.25494480133057,land,1009.7774335555846,36.11084,140.098945,-1,-1,-1,,-1
threading,212.2580463886261,land,1009.778440278173,36.110925,140.099043,-1,-1,-1,,-1
threading,215.26143646240234,land,1009.8641047905545,36.11098,140.099095,-1,-1,-1,,-1
threading,218.26376843452454,land,1009.7730688788738,36.111023,140.099135,-1,-1,-1,,-1
